Datum und Uhrzeit,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3
2019-12-27 00:00,665,0,357,2,0,0,0,0,150,153,250,202,422,294,401,205
2019-12-27 00:15,665,0,357,2,0,0,0,0,150,153,250,202,422,294,401,205
2019-12-27 00:30,665,0,357,2,0,0,0,0,150,153,250,202,422,294,401,205
2019-12-27 00:45,665,0,357,2,0,0,0,0,150,153,250,202,422,294,401,205
2019-12-27 01:00,665,0,357,2,0,0,0,0,150,153,250,202,422,294,401,205
2019-12-27 01:15,665,0,357,2,0,0,0,0,150,153,250,202,422,294,401,205
2019-12-27 01:30,665,0,357,2,0,0,0,0,150,153,250,202,422,294,401,205
2019-12-27 01:45,665,0,357,2,0,0,0,0,150,153,250,202,422,294,401,205
2019-12-27 02:00,665,0,357,2,0,0,0,0,150,153,250,202,422,294,401,205
2019-12-27 02:15,665,0,357,2,0,0,0,0,150,153,250,202,422,294,401,205
2019-12-27 02:30,665,0,357,2,0,0,0,0,150,153,250,202,422,294,401,205
2019-12-27 02:45,665,0,357,2,0,0,0,0,150,153,250,202,422,294,401,205
2019-12-27 03:00,665,0,357,2,0,0,0,0,150,153,250,202,422,294,401,205
2019-12-27 03:15,665,0,357,2,0,0,0,0,150,153,250,202,422,294,401,205
2019-12-27 03:30,665,0,357,2,0,0,0,0,150,153,250,202,422,294,401,205
2019-12-27 03:45,665,0,357,2,0,0,0,0,150,153,250,202,422,294,401,205
2019-12-27 04:00,665,0,357,2,0,0,0,0,150,153,250,202,422,294,401,205
2019-12-27 04:15,665,0,357,2,0,0,0,0,150,153,250,202,422,294,401,205
2019-12-27 04:30,665,0,357,2,0,0,0,0,150,153,250,202,422,294,401,205
2019-12-27 04:45,665,0,357,2,0,0,0,0,150,153,250,202,422,294,401,205
2019-12-27 05:00,665,0,357,2,0,0,0,0,150,153,250,202,422,294,401,205
2019-12-27 05:15,665,0,357,2,0,0,0,0,150,153,250,202,422,294,401,205
2019-12-27 05:30,665,0,357,2,0,0,0,0,150,153,250,202,422,294,401,205
2019-12-27 05:45,665,0,357,2,0,0,0,0,150,153,250,202,422,294,401,205
2019-12-27 06:00,665,0,357,2,0,0,0,0,150,153,250,202,422,294,401,205
2019-12-27 06:05,665,0,357,2,0,0,0,0,150,153,250,202,422,294,401,205
2019-12-27 06:10,665,0,357,2,0,0,0,0,150,153,250,202,422,294,401,205
2019-12-27 06:15,665,0,357,2,0,0,0,0,150,153,250,202,422,294,401,205
2019-12-27 06:20,665,0,357,2,0,0,0,0,150,153,250,202,422,294,401,205
2019-12-27 06:25,665,0,357,2,0,0,0,0,150,153,250,202,422,294,401,205
2019-12-27 06:30,665,0,357,2,0,0,0,0,150,153,250,202,422,294,401,205
2019-12-27 06:35,665,0,357,2,0,0,0,0,150,153,250,202,422,294,401,205
2019-12-27 06:40,665,0,357,2,0,0,0,0,150,153,250,202,422,294,401,205
2019-12-27 06:45,665,0,357,2,0,0,0,0,150,153,250,202,422,294,401,205
2019-12-27 06:50,665,0,357,2,0,0,0,0,150,153,250,202,422,294,401,205
2019-12-27 06:55,665,0,357,2,0,0,0,0,150,153,250,202,422,294,401,205
2019-12-27 07:00,665,0,357,2,0,0,0,0,150,153,250,202,422,294,401,205
2019-12-27 07:05,652,192,358,16,450,419,696,228,0,161,247,191,417,287,474,197
2019-12-27 07:10,650,192,357,16,450,419,695,228,0,161,247,190,417,288,474,197
2019-12-27 07:15,651,192,357,16,450,419,691,228,0,161,246,188,417,285,473,197
2019-12-27 07:20,649,192,357,17,450,419,689,228,0,161,245,188,416,283,472,197
2019-12-27 07:25,646,192,357,59,450,419,688,228,0,161,244,188,414,283,471,197
2019-12-27 07:30,646,192,357,59,450,419,687,228,0,161,243,186,409,283,470,197
2019-12-27 07:35,643,192,357,59,450,419,685,228,0,161,242,184,407,283,468,197
2019-12-27 07:40,638,191,356,59,450,419,683,228,0,161,242,185,405,282,468,197
2019-12-27 07:45,637,190,354,59,450,420,683,228,0,159,242,182,400,279,467,197
2019-12-27 07:50,635,188,354,59,450,420,680,228,0,157,240,181,396,279,466,195
2019-12-27 07:55,633,186,351,59,450,419,679,227,150,157,239,180,397,279,466,195
2019-12-27 08:00,634,184,350,59,450,419,676,227,150,156,238,179,394,278,466,195
2019-12-27 08:05,632,182,351,58,450,419,674,226,150,155,238,179,391,276,466,194
2019-12-27 08:10,631,179,349,58,450,419,674,225,150,153,234,177,390,275,461,192
2019-12-27 08:15,629,179,347,58,450,419,671,227,150,153,234,177,390,277,461,193
2019-12-27 08:20,629,178,345,58,450,418,665,229,150,152,233,181,389,275,459,193
2019-12-27 08:25,627,178,343,58,450,417,664,228,150,152,231,180,386,272,456,192
2019-12-27 08:30,624,179,341,58,450,416,661,229,150,152,229,178,379,269,455,192
2019-12-27 08:35,621,177,339,58,450,417,657,229,150,150,227,174,378,268,454,192
2019-12-27 08:40,620,176,338,58,450,416,655,228,150,150,227,173,371,268,453,192
2019-12-27 08:45,616,176,338,58,450,416,651,227,150,150,224,170,365,270,452,190
2019-12-27 08:50,614,176,337,57,450,416,649,227,150,150,220,169,363,266,452,190
2019-12-27 08:55,609,170,337,57,450,417,643,226,150,149,215,171,356,267,452,190
2019-12-27 09:00,606,166,336,57,450,415,640,226,150,146,210,168,354,265,452,190
2019-12-27 09:05,602,165,331,57,450,414,630,223,149,144,209,166,349,263,452,190
2019-12-27 09:10,600,161,326,56,450,413,618,224,141,143,204,164,347,264,452,190
2019-12-27 09:15,597,158,320,55,450,413,610,225,139,141,203,161,347,262,452,190
2019-12-27 09:20,592,154,315,56,450,410,603,225,131,139,198,159,343,262,451,190
2019-12-27 09:25,588,154,310,57,450,409,592,226,126,135,195,155,338,261,450,189
2019-12-27 09:30,581,151,303,56,450,409,580,225,119,130,184,153,330,258,450,188
2019-12-27 09:35,572,144,295,56,450,406,570,225,115,126,177,152,328,258,446,188
2019-12-27 09:40,569,140,284,56,450,401,558,226,105,119,173,149,323,260,446,188
