Datum und Uhrzeit,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3
2022-01-11 00:00,657,0,366,0,0,0,708,0,150,153,271,217,358,271,479,304
2022-01-11 00:15,657,0,366,0,0,0,708,0,150,153,271,217,358,271,479,304
2022-01-11 00:30,657,0,366,0,0,0,708,0,150,153,271,217,358,271,479,304
2022-01-11 00:45,657,0,366,0,0,0,708,0,150,153,271,217,358,271,479,304
2022-01-11 01:00,657,0,366,0,0,0,708,0,150,153,271,217,358,271,479,304
2022-01-11 01:15,657,0,366,0,0,0,708,0,150,153,271,217,358,271,479,304
2022-01-11 01:30,657,0,366,0,0,0,708,0,150,153,271,217,358,271,479,304
2022-01-11 01:45,657,0,366,0,0,0,708,0,150,153,271,217,358,271,479,304
2022-01-11 02:00,657,0,366,0,0,0,708,0,150,153,271,217,358,271,479,304
2022-01-11 02:15,657,0,366,0,0,0,708,0,150,153,271,217,358,271,479,304
2022-01-11 02:30,657,0,366,0,0,0,708,0,150,153,271,217,358,271,479,304
2022-01-11 02:45,657,0,366,0,0,0,708,0,150,153,271,217,358,271,479,304
2022-01-11 03:00,657,0,366,0,0,0,708,0,150,153,271,217,358,271,479,304
2022-01-11 03:15,657,0,366,0,0,0,708,0,150,153,271,217,358,271,479,304
2022-01-11 03:30,657,0,366,0,0,0,708,0,150,153,271,217,358,271,479,304
2022-01-11 03:45,657,0,366,0,0,0,708,0,150,153,271,217,358,271,479,304
2022-01-11 04:00,657,0,366,0,0,0,708,0,150,153,271,217,358,271,479,304
2022-01-11 04:15,657,0,366,0,0,0,708,0,150,153,271,217,358,271,479,304
2022-01-11 04:30,657,0,366,0,0,0,708,0,150,153,271,217,358,271,479,304
2022-01-11 04:45,657,0,366,0,0,0,708,0,150,153,271,217,358,271,479,304
2022-01-11 05:00,657,0,366,0,0,0,708,0,150,153,271,217,358,271,479,304
2022-01-11 05:15,657,0,366,0,0,0,708,0,150,153,271,217,358,271,479,304
2022-01-11 05:30,657,0,366,0,0,0,708,0,150,153,271,217,358,271,479,304
2022-01-11 05:45,657,0,366,0,0,0,708,0,150,153,271,217,358,271,479,304
2022-01-11 06:00,657,0,366,0,0,0,708,0,150,153,271,217,358,271,479,304
2022-01-11 06:05,657,0,366,0,0,0,708,0,150,153,271,217,358,271,479,304
2022-01-11 06:10,657,0,366,0,0,0,708,0,150,153,271,217,358,271,479,304
2022-01-11 06:15,657,0,366,0,0,0,708,0,150,153,271,217,358,271,479,304
2022-01-11 06:20,657,0,366,0,0,0,708,0,150,153,271,217,358,271,479,304
2022-01-11 06:25,657,0,366,0,0,0,708,0,150,153,271,217,358,271,479,304
2022-01-11 06:30,657,0,366,0,0,0,708,0,150,153,271,217,358,271,479,304
2022-01-11 06:35,657,0,366,0,0,0,708,0,150,153,271,217,358,271,479,304
2022-01-11 06:40,657,0,366,0,0,0,708,0,150,153,271,217,358,271,479,304
2022-01-11 06:45,657,0,366,0,0,0,708,0,150,153,271,217,358,271,479,304
2022-01-11 06:50,657,0,366,0,0,0,708,0,150,153,271,217,358,271,479,304
2022-01-11 06:55,657,0,366,0,0,0,708,0,150,153,271,217,358,271,479,304
2022-01-11 07:00,657,0,366,0,0,0,708,0,150,153,271,217,358,271,479,304
2022-01-11 07:05,638,182,352,51,150,0,693,238,0,153,272,179,340,262,495,270
2022-01-11 07:10,636,182,351,51,150,0,688,238,0,153,272,175,335,260,493,268
2022-01-11 07:15,633,182,350,51,150,0,685,238,0,153,272,174,330,258,492,266
2022-01-11 07:20,628,182,348,50,150,0,681,238,0,153,273,175,326,255,490,265
2022-01-11 07:25,625,182,348,50,150,0,678,238,0,151,273,175,322,253,489,264
2022-01-11 07:30,624,180,346,49,150,0,676,236,150,150,271,173,319,249,489,262
2022-01-11 07:35,621,180,342,49,151,0,671,236,150,148,271,173,315,245,488,261
2022-01-11 07:40,621,181,340,49,151,0,665,236,150,147,267,169,309,240,486,259
2022-01-11 07:45,615,176,339,49,153,0,657,235,150,147,265,165,306,234,484,254
2022-01-11 07:50,604,170,334,48,154,0,651,234,150,144,265,164,294,233,479,251
2022-01-11 07:55,596,167,332,47,157,0,646,232,150,144,266,158,294,228,478,250
2022-01-11 08:00,594,163,328,47,157,0,636,230,150,141,261,158,285,223,474,247
2022-01-11 08:05,587,161,324,46,158,0,631,229,150,141,258,157,278,220,471,246
2022-01-11 08:10,578,159,322,46,159,0,628,228,150,140,252,156,270,215,467,245
2022-01-11 08:15,572,156,316,46,159,141,622,228,150,140,248,156,266,214,463,245
2022-01-11 08:20,561,153,311,48,159,378,616,227,150,138,242,152,256,211,460,244
