Datum und Uhrzeit,,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3
2022-12-03 00:00,0,608,0,313,0,0,0,595,0,150,161,224,119,200,161,463,294
2022-12-03 00:15,0,608,0,313,0,0,0,595,0,150,161,224,119,200,161,463,294
2022-12-03 00:30,0,608,0,313,0,0,0,595,0,150,161,224,119,200,161,463,294
2022-12-03 00:45,0,608,0,313,0,0,0,595,0,150,161,224,119,200,161,463,294
2022-12-03 01:00,0,608,0,313,0,0,0,595,0,150,161,224,119,200,161,463,294
2022-12-03 01:15,0,608,0,313,0,0,0,595,0,150,161,224,119,200,161,463,294
2022-12-03 01:30,0,608,0,313,0,0,0,595,0,150,161,224,119,200,161,463,294
2022-12-03 01:45,0,608,0,313,0,0,0,595,0,150,161,224,119,200,161,463,294
2022-12-03 02:00,0,608,0,313,0,0,0,595,0,150,161,224,119,200,161,463,294
2022-12-03 02:15,0,608,0,313,0,0,0,595,0,150,161,224,119,200,161,463,294
2022-12-03 02:30,0,608,0,313,0,0,0,595,0,150,161,224,119,200,161,463,294
2022-12-03 02:45,0,608,0,313,0,0,0,595,0,150,161,224,119,200,161,463,294
2022-12-03 03:00,0,608,0,313,0,0,0,595,0,150,161,224,119,200,161,463,294
2022-12-03 03:15,0,608,0,313,0,0,0,595,0,150,161,224,119,200,161,463,294
2022-12-03 03:30,0,608,0,313,0,0,0,595,0,150,161,224,119,200,161,463,294
2022-12-03 03:45,0,608,0,313,0,0,0,595,0,150,161,224,119,200,161,463,294
2022-12-03 04:00,0,608,0,313,0,0,0,595,0,150,161,224,119,200,161,463,294
2022-12-03 04:15,0,608,0,313,0,0,0,595,0,150,161,224,119,200,161,463,294
2022-12-03 04:30,0,608,0,313,0,0,0,595,0,150,161,224,119,200,161,463,294
2022-12-03 04:45,0,608,0,313,0,0,0,595,0,150,161,224,119,200,161,463,294
2022-12-03 05:00,0,608,0,313,0,0,0,595,0,150,161,224,119,200,161,463,294
2022-12-03 05:15,0,608,0,313,0,0,0,595,0,150,161,224,119,200,161,463,294
2022-12-03 05:30,0,608,0,313,0,0,0,595,0,150,161,224,119,200,161,463,294
2022-12-03 05:45,0,608,0,313,0,0,0,595,0,150,161,224,119,200,161,463,294
2022-12-03 06:05,0,608,0,313,0,0,0,595,0,150,161,224,119,200,161,463,294
2022-12-03 06:10,0,608,0,313,0,0,0,595,0,150,161,224,119,200,161,463,294
