Datum und Uhrzeit,PH Coesfelder Kreuz,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3
2023-04-18 00:00,0,663,0,352,0,0,0,646,0,150,160,234,114,360,215,553,351
2023-04-18 00:15,0,663,0,352,0,0,0,646,0,150,160,234,114,360,215,553,351
2023-04-18 00:30,0,663,0,352,0,0,0,646,0,150,160,234,114,360,215,553,351
2023-04-18 00:45,0,663,0,352,0,0,0,646,0,150,160,234,114,360,215,553,351
2023-04-18 01:00,0,663,0,352,0,0,0,646,0,150,160,234,114,360,215,553,351
2023-04-18 01:15,0,663,0,352,0,0,0,646,0,150,160,234,114,360,215,553,351
2023-04-18 01:30,0,663,0,352,0,0,0,646,0,150,160,234,114,360,215,553,351
2023-04-18 01:45,0,663,0,352,0,0,0,646,0,150,160,234,114,360,215,553,351
2023-04-18 02:00,0,663,0,352,0,0,0,646,0,150,160,234,114,360,215,553,351
2023-04-18 02:15,0,663,0,352,0,0,0,646,0,150,160,234,114,360,215,553,351
2023-04-18 02:30,0,663,0,352,0,0,0,646,0,150,160,234,114,360,215,553,351
2023-04-18 02:45,0,663,0,352,0,0,0,646,0,150,160,234,114,360,215,553,351
2023-04-18 03:00,0,663,0,352,0,0,0,646,0,150,160,234,114,360,215,553,351
2023-04-18 03:15,0,663,0,352,0,0,0,646,0,150,160,234,114,360,215,553,351
2023-04-18 03:30,0,663,0,352,0,0,0,646,0,150,160,234,114,360,215,553,351
2023-04-18 03:45,0,663,0,352,0,0,0,646,0,150,160,234,114,360,215,553,351
2023-04-18 04:00,0,663,0,352,0,0,0,646,0,150,160,234,114,360,215,553,351
2023-04-18 04:15,0,663,0,352,0,0,0,646,0,150,160,234,114,360,215,553,351
2023-04-18 04:30,0,663,0,352,0,0,0,646,0,150,160,234,114,360,215,553,351
2023-04-18 04:45,0,663,0,352,0,0,0,646,0,150,160,234,114,360,215,553,351
