Datum und Uhrzeit,,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3
2022-12-04 00:00,869,617,0,314,0,0,0,686,0,150,155,228,118,230,162,490,307
2022-12-04 00:15,869,617,0,314,0,0,0,686,0,150,155,228,118,230,162,490,307
2022-12-04 00:30,869,617,0,314,0,0,0,686,0,150,155,228,118,230,162,490,307
2022-12-04 00:45,869,617,0,314,0,0,0,686,0,150,155,228,118,230,162,490,307
2022-12-04 01:00,869,617,0,314,0,0,0,686,0,150,155,228,118,230,162,490,307
2022-12-04 01:15,869,617,0,314,0,0,0,686,0,150,155,228,118,230,162,490,307
2022-12-04 01:30,869,617,0,314,0,0,0,686,0,150,155,228,118,230,162,490,307
2022-12-04 01:45,869,617,0,314,0,0,0,686,0,150,155,228,118,230,162,490,307
2022-12-04 02:00,869,617,0,314,0,0,0,686,0,150,155,228,118,230,162,490,307
2022-12-04 02:15,869,617,0,314,0,0,0,686,0,150,155,228,118,230,162,490,307
2022-12-04 02:30,869,617,0,314,0,0,0,686,0,150,155,228,118,230,162,490,307
2022-12-04 02:45,869,617,0,314,0,0,0,686,0,150,155,228,118,230,162,490,307
2022-12-04 03:00,869,617,0,314,0,0,0,686,0,150,155,228,118,230,162,490,307
2022-12-04 03:15,869,617,0,314,0,0,0,686,0,150,155,228,118,230,162,490,307
2022-12-04 03:30,869,617,0,314,0,0,0,686,0,150,155,228,118,230,162,490,307
2022-12-04 03:45,869,617,0,314,0,0,0,686,0,150,155,228,118,230,162,490,307
2022-12-04 04:00,869,617,0,314,0,0,0,686,0,150,155,228,118,230,162,490,307
2022-12-04 04:15,869,617,0,314,0,0,0,686,0,150,155,228,118,230,162,490,307
2022-12-04 04:30,869,617,0,314,0,0,0,686,0,150,155,228,118,230,162,490,307
2022-12-04 04:45,869,617,0,314,0,0,0,686,0,150,155,228,118,230,162,490,307
2022-12-04 05:00,869,617,0,314,0,0,0,686,0,150,155,228,118,230,162,490,307
2022-12-04 05:15,869,617,0,314,0,0,0,686,0,150,155,228,118,230,162,490,307
2022-12-04 05:30,869,617,0,314,0,0,0,686,0,150,155,228,118,230,162,490,307
2022-12-04 05:45,869,617,0,314,0,0,0,686,0,150,155,228,118,230,162,490,307
2022-12-04 06:00,869,617,0,314,0,0,0,686,0,150,155,228,118,230,162,490,307
2022-12-04 06:05,869,617,0,314,0,0,0,686,0,150,155,228,118,230,162,490,307
2022-12-04 06:10,869,617,0,314,0,0,0,686,0,150,155,228,118,230,162,490,307
2022-12-04 06:15,869,617,0,314,0,0,0,686,0,150,155,228,118,230,162,490,307
2022-12-04 06:20,869,617,0,314,0,0,0,686,0,150,155,228,118,230,162,490,307
2022-12-04 06:25,869,617,0,314,0,0,0,686,0,150,155,228,118,230,162,490,307
2022-12-04 06:30,869,617,0,314,0,0,0,686,0,150,155,228,118,230,162,490,307
2022-12-04 06:35,869,617,0,314,0,0,0,686,0,150,155,228,118,230,162,490,307
2022-12-04 06:40,869,617,0,314,0,0,0,686,0,150,155,228,118,230,162,490,307
2022-12-04 06:45,869,617,0,314,0,0,0,686,0,150,155,228,118,230,162,490,307
2022-12-04 06:50,869,617,0,314,0,0,0,686,0,150,155,228,118,230,162,490,307
2022-12-04 06:55,869,617,0,314,0,0,0,686,0,150,155,228,118,230,162,490,307
2022-12-04 07:00,869,617,0,314,0,0,0,686,0,150,155,228,118,230,162,490,307
2022-12-04 07:05,0,0,0,355,0,0,0,0,0,0,155,0,135,287,192,589,316
2022-12-04 07:10,0,0,0,355,0,0,0,0,0,0,155,0,135,287,192,589,316
2022-12-04 07:15,0,0,0,355,0,0,0,0,0,0,155,0,135,288,192,589,316
2022-12-04 07:20,0,0,0,355,0,0,0,0,0,0,155,0,134,288,192,589,316
2022-12-04 07:25,0,0,0,355,0,0,0,0,0,0,155,0,134,288,192,589,316
2022-12-04 07:30,0,0,0,355,0,0,0,0,0,0,155,0,132,288,193,589,316
2022-12-04 07:35,0,0,0,355,0,0,0,0,0,0,155,0,132,288,193,589,316
2022-12-04 07:40,0,0,0,355,0,0,0,0,0,0,155,0,132,288,193,589,316
2022-12-04 07:45,0,0,0,355,0,0,0,0,0,0,155,0,131,288,193,589,316
2022-12-04 07:50,0,0,0,355,0,0,0,0,0,0,155,0,131,288,193,589,316
2022-12-04 07:55,0,0,0,355,0,0,0,0,0,0,155,0,131,289,192,588,316
2022-12-04 08:00,0,0,0,355,0,0,0,0,0,0,155,0,132,289,192,588,316
2022-12-04 08:05,0,0,0,355,0,0,0,0,0,0,155,0,132,289,192,588,316
2022-12-04 08:10,0,668,0,352,0,0,0,0,0,0,155,0,132,289,192,588,316
2022-12-04 08:15,0,667,0,352,0,0,0,0,0,0,155,0,133,288,192,588,316
2022-12-04 08:20,0,667,0,352,0,0,0,0,0,0,155,0,132,289,192,588,316
2022-12-04 08:25,0,667,0,351,0,0,0,0,0,0,155,247,132,290,192,588,316
2022-12-04 08:30,0,667,0,351,0,0,0,0,0,0,155,248,133,289,192,588,316
2022-12-04 08:35,0,667,0,351,0,0,0,0,0,0,155,247,131,289,192,588,316
2022-12-04 08:40,0,667,0,351,0,0,0,0,0,0,155,246,131,289,192,588,316
2022-12-04 08:45,0,667,0,351,0,0,0,0,0,0,155,246,131,289,193,587,316
2022-12-04 08:50,0,667,0,350,0,0,0,664,0,0,155,244,132,288,193,587,317
2022-12-04 08:55,0,667,0,349,0,0,0,663,0,0,155,241,132,288,193,587,317
2022-12-04 09:00,0,667,0,347,0,0,0,660,0,0,155,241,131,287,193,587,317
2022-12-04 09:05,0,665,0,347,0,0,0,660,0,0,155,242,132,285,193,587,317
2022-12-04 09:10,0,664,0,346,0,0,0,659,0,0,155,241,132,286,194,587,317
2022-12-04 09:15,0,664,0,346,0,0,0,658,0,0,155,238,133,287,194,587,317
2022-12-04 09:20,0,663,0,344,0,0,0,655,0,0,155,235,131,286,194,587,317
2022-12-04 09:25,0,663,0,343,0,0,0,652,0,0,155,234,129,286,194,587,317
2022-12-04 09:30,0,663,0,342,0,0,0,648,0,0,155,231,130,287,194,587,317
2022-12-04 09:35,0,663,0,341,0,0,0,647,0,0,155,230,132,287,193,587,317
2022-12-04 09:40,0,663,0,340,0,0,0,645,0,0,155,225,133,285,193,587,317
2022-12-04 09:45,0,662,0,335,0,0,0,643,0,0,155,222,133,284,193,587,318
2022-12-04 09:50,0,663,0,333,0,0,460,640,0,150,155,219,132,283,192,587,318
2022-12-04 09:55,0,658,0,331,0,26,460,640,0,150,155,214,133,279,192,586,319
2022-12-04 10:00,0,656,0,326,0,27,460,638,0,150,155,209,130,279,192,585,319
2022-12-04 10:05,0,652,0,322,62,29,460,637,0,150,155,206,131,280,191,584,319
2022-12-04 10:10,0,649,0,315,61,29,460,638,0,150,155,204,134,278,192,584,319
2022-12-04 10:15,0,640,0,312,61,29,460,641,228,150,155,200,133,279,193,583,319
2022-12-04 10:20,0,638,0,312,57,29,460,640,227,150,155,204,135,280,194,582,319
2022-12-04 10:25,0,636,0,312,52,29,460,635,227,150,155,205,137,282,195,581,319
2022-12-04 10:30,0,628,0,311,53,29,460,632,226,150,155,205,139,281,197,581,319
2022-12-04 10:35,0,614,0,308,52,31,460,621,223,150,155,202,138,282,200,580,319
2022-12-04 10:40,0,604,0,303,51,32,460,617,223,150,155,199,143,287,203,580,318
2022-12-04 10:45,0,593,0,298,49,32,460,611,223,150,155,196,144,288,205,579,318
2022-12-04 10:50,0,586,0,293,48,32,460,608,223,150,155,194,146,293,209,579,318
2022-12-04 10:55,0,580,0,292,46,33,460,603,220,150,155,195,149,290,211,579,318
2022-12-04 11:00,0,578,0,287,45,33,460,596,221,148,155,188,149,288,215,577,318
2022-12-04 11:05,0,575,0,284,43,34,460,587,221,147,155,188,148,290,216,578,318
2022-12-04 11:10,0,569,0,284,40,34,460,575,219,143,155,190,148,291,219,575,318
2022-12-04 11:15,0,566,0,278,39,34,460,566,217,140,155,187,153,293,220,571,318
2022-12-04 11:20,0,562,0,273,38,34,460,563,217,140,155,186,151,294,224,567,318
2022-12-04 11:25,0,557,0,271,37,35,460,552,216,139,155,185,148,295,223,567,318
2022-12-04 11:30,0,548,0,269,34,35,460,542,215,138,155,182,148,299,221,568,318
2022-12-04 11:35,0,543,0,263,30,36,460,538,215,137,155,177,151,298,217,565,318
