Datum und Uhrzeit,PH Coesfelder Kreuz,PH Theater,PP Hörsterplatz,PH Alter Steinweg,Busparkplatz,PP Schlossplatz Nord,PP Schlossplatz Süd,PH Aegidii,PP Georgskommende,PH Münster Arkaden,PH Karstadt,PH Stubengasse,PH Bremer Platz,PH Engelenschanze,PH Bahnhofstraße,PH Cineplex,PH Stadthaus 3
2023-02-23 00:00,0,645,0,371,0,0,0,696,0,150,162,249,173,295,228,530,332
2023-02-23 00:15,0,645,0,371,0,0,0,696,0,150,162,249,173,295,228,530,332
2023-02-23 00:30,0,645,0,371,0,0,0,696,0,150,162,249,173,295,228,530,332
2023-02-23 00:45,0,645,0,371,0,0,0,696,0,150,162,249,173,295,228,530,332
2023-02-23 01:00,0,645,0,371,0,0,0,696,0,150,162,249,173,295,228,530,332
2023-02-23 01:15,0,645,0,371,0,0,0,696,0,150,162,249,173,295,228,530,332
2023-02-23 01:30,0,645,0,371,0,0,0,696,0,150,162,249,173,295,228,530,332
2023-02-23 01:45,0,645,0,371,0,0,0,696,0,150,162,249,173,295,228,530,332
2023-02-23 02:00,0,645,0,371,0,0,0,696,0,150,162,249,173,295,228,530,332
2023-02-23 02:15,0,645,0,371,0,0,0,696,0,150,162,249,173,295,228,530,332
2023-02-23 02:30,0,645,0,371,0,0,0,696,0,150,162,249,173,295,228,530,332
2023-02-23 02:45,0,645,0,371,0,0,0,696,0,150,162,249,173,295,228,530,332
2023-02-23 03:00,0,645,0,371,0,0,0,696,0,150,162,249,173,295,228,530,332
2023-02-23 03:15,0,645,0,371,0,0,0,696,0,150,162,249,173,295,228,530,332
2023-02-23 03:30,0,645,0,371,0,0,0,696,0,150,162,249,173,295,228,530,332
2023-02-23 03:45,0,645,0,371,0,0,0,696,0,150,162,249,173,295,228,530,332
2023-02-23 04:00,0,645,0,371,0,0,0,696,0,150,162,249,173,295,228,530,332
2023-02-23 04:15,0,645,0,371,0,0,0,696,0,150,162,249,173,295,228,530,332
2023-02-23 04:30,0,645,0,371,0,0,0,696,0,150,162,249,173,295,228,530,332
2023-02-23 04:45,0,645,0,371,0,0,0,696,0,150,162,249,173,295,228,530,332
2023-02-23 05:00,0,645,0,371,0,0,0,696,0,150,162,249,173,295,228,530,332
2023-02-23 05:15,0,645,0,371,0,0,0,696,0,150,162,249,173,295,228,530,332
2023-02-23 05:30,0,645,0,371,0,0,0,696,0,150,162,249,173,295,228,530,332
2023-02-23 05:45,0,645,0,371,0,0,0,696,0,150,162,249,173,295,228,530,332
2023-02-23 06:00,0,645,0,371,0,0,0,696,0,150,162,249,173,295,228,530,332
2023-02-23 06:05,0,645,0,371,0,0,0,696,0,150,162,249,173,295,228,530,332
2023-02-23 06:10,0,645,0,371,0,0,0,696,0,150,162,249,173,295,228,530,332
2023-02-23 06:15,0,645,0,371,0,0,0,696,0,150,162,249,173,295,228,530,332
2023-02-23 06:20,0,645,0,371,0,0,0,696,0,150,162,249,173,295,228,530,332
2023-02-23 06:25,0,645,0,371,0,0,0,696,0,150,162,249,173,295,228,530,332
2023-02-23 06:30,0,645,0,371,0,0,0,696,0,150,162,249,173,295,228,530,332
2023-02-23 06:35,0,645,0,371,0,0,0,696,0,150,162,249,173,295,228,530,332
2023-02-23 06:40,0,645,0,371,0,0,0,696,0,150,162,249,173,295,228,530,332
2023-02-23 06:45,0,645,0,371,0,0,0,696,0,150,162,249,173,295,228,530,332
2023-02-23 06:50,0,645,0,371,0,0,0,696,0,150,162,249,173,295,228,530,332
2023-02-23 06:55,0,645,0,371,0,0,0,696,0,150,162,249,173,295,228,530,332
2023-02-23 07:00,0,645,0,371,0,0,0,696,0,150,162,249,173,295,228,530,332
2023-02-23 07:05,0,633,176,354,0,152,388,675,0,0,162,250,157,292,218,539,293
2023-02-23 07:10,0,632,175,353,0,152,388,667,0,0,162,248,157,293,218,535,291
2023-02-23 07:15,0,629,173,353,0,153,388,665,225,0,162,247,155,293,218,535,287
