"Datum und Uhrzeit","PH Coesfelder Kreuz","PH Theater","PP Hörsterplatz","PH Alter Steinweg","Busparkplatz","PP Schlossplatz Nord","PP Schlossplatz Süd","PH Aegidii","PP Georgskommende","PH Münster Arkaden","PH Karstadt","PH Stubengasse","PH Bremer Platz","PH Engelenschanze","PH Bahnhofstraße","PH Cineplex","PH Stadthaus 3"
"Anzahl Parkplätze gesamt","(1000)","(743)","(202)","(371)","(63)","(450)","(460)","(750)","(272)","(166)","(187)","(300)","(287)","(460)","(320)","(590)","(372)"
"2025-05-15 00:00","ges",630,"ges",350,"ges","ges","ges",684,"ges",162,176,253,129,334,175,559,318
"2025-05-15 00:15","ges",630,"ges",350,"ges","ges","ges",686,"ges",162,176,253,129,334,175,560,319
"2025-05-15 00:30","ges",630,"ges",350,"ges","ges","ges",686,"ges",162,176,253,129,334,175,562,319
"2025-05-15 00:45","ges",630,"ges",350,"ges","ges","ges",686,"ges",162,176,253,129,334,175,562,319
"2025-05-15 01:00","ges",630,"ges",350,"ges","ges","ges",686,"ges",162,176,253,129,334,175,562,319
"2025-05-15 01:15","ges",630,"ges",350,"ges","ges","ges",686,"ges",162,176,253,129,334,175,562,319
"2025-05-15 01:30","ges",630,"ges",350,"ges","ges","ges",686,"ges",162,176,253,129,334,175,563,319
"2025-05-15 01:45","ges",630,"ges",350,"ges","ges","ges",686,"ges",162,176,253,129,334,175,563,319
"2025-05-15 02:00","ges",630,"ges",350,"ges","ges","ges",686,"ges",162,176,253,129,334,175,563,318
"2025-05-15 02:15","ges",630,"ges",350,"ges","ges","ges",686,"ges",162,176,253,129,334,175,563,318
"2025-05-15 02:30","ges",630,"ges",350,"ges","ges","ges",686,"ges",162,176,253,129,334,175,563,319
"2025-05-15 02:45","ges",630,"ges",350,"ges","ges","ges",686,"ges",162,176,253,129,334,175,563,319
"2025-05-15 03:00","ges",630,"ges",350,"ges","ges","ges",686,"ges",162,176,253,129,334,175,562,319
"2025-05-15 03:15","ges",630,"ges",350,"ges","ges","ges",686,"ges",162,176,253,129,334,175,562,319
"2025-05-15 03:30","ges",630,"ges",350,"ges","ges","ges",686,"ges",162,176,253,129,334,175,562,319
"2025-05-15 03:45","ges",630,"ges",350,"ges","ges","ges",686,"ges",162,176,253,129,334,175,563,319
"2025-05-15 04:00","ges",630,"ges",350,"ges","ges","ges",686,"ges",162,176,253,129,334,175,563,319
"2025-05-15 04:15","ges",630,"ges",350,"ges","ges","ges",686,"ges",162,176,253,129,334,175,563,319
"2025-05-15 04:30","ges",630,"ges",350,"ges","ges","ges",686,"ges",162,176,253,129,334,175,563,319
"2025-05-15 04:45","ges",630,"ges",350,"ges","ges","ges",686,"ges",162,176,253,129,334,175,563,319
"2025-05-15 05:00","ges",630,"ges",350,"ges","ges","ges",686,"ges",162,176,253,129,334,175,563,319
"2025-05-15 05:15","ges",630,"ges",350,"ges","ges","ges",686,"ges",162,176,253,129,334,175,563,319
"2025-05-15 05:30","ges",630,"ges",350,"ges","ges","ges",686,"ges",162,176,253,129,334,175,563,318
"2025-05-15 05:45","ges",630,"ges",350,"ges","ges","ges",686,"ges",162,176,253,129,334,175,563,316
"2025-05-15 06:00","ges",630,"ges",350,"ges","ges","ges",686,"ges",162,176,253,129,334,175,562,311
"2025-05-15 06:05","ges",630,"ges",350,"ges","ges","ges",686,"ges",162,176,253,129,334,175,561,309
"2025-05-15 06:10","ges",630,"ges",350,"ges","ges","ges",686,"ges",162,176,253,129,334,175,561,308
"2025-05-15 06:15","ges",630,"ges",350,"ges",200,"ges",686,"ges",162,176,253,129,334,175,561,306
"2025-05-15 06:20","ges",630,"ges",350,"ges",200,"ges",686,"ges",162,176,253,129,334,175,561,303
"2025-05-15 06:25","ges",630,"ges",350,"ges",200,"ges",686,"ges",162,176,253,129,334,175,559,302
"2025-05-15 06:30","ges",630,"ges",350,"ges",200,"ges",686,"ges",162,176,253,129,334,175,559,301
"2025-05-15 06:35","ges",630,"ges",350,"ges",200,"ges",686,"ges",162,176,253,129,334,175,557,294
"2025-05-15 06:40","ges",630,"ges",350,"ges",200,"ges",686,"ges",162,176,253,129,334,175,556,287
"2025-05-15 06:45","ges",630,"ges",350,"ges",200,"ges",686,"ges",162,176,253,129,334,175,555,284
"2025-05-15 06:50","ges",626,"ges",339,"ges",200,"ges",671,"ges",162,176,250,106,333,165,553,282
"2025-05-15 06:55","ges",626,126,339,"ges",200,350,667,"ges",162,176,250,106,334,166,551,281
"2025-05-15 07:00","ges",623,126,338,"ges",200,350,665,"ges",162,176,249,106,335,165,549,275
"2025-05-15 07:05","ges",621,125,338,"ges",200,350,661,"ges",162,176,251,104,330,164,546,267
"2025-05-15 07:10","ges",620,127,334,63,200,350,657,244,162,176,248,105,326,162,543,261
"2025-05-15 07:15","ges",619,126,333,63,200,350,656,243,162,170,249,104,325,163,541,260
