"Datum und Uhrzeit","PH Coesfelder Kreuz","PH Theater","PP Hörsterplatz","PH Alter Steinweg","Busparkplatz","PP Schlossplatz Nord","PP Schlossplatz Süd","PH Aegidii","PP Georgskommende","PH Münster Arkaden","PH Karstadt","PH Stubengasse","PH Bremer Platz","PH Engelenschanze","PH Bahnhofstraße","PH Cineplex","PH Stadthaus 3","PP Hafenmarkt","TG Hafenmarkt"
"Anzahl Parkplätze gesamt","(1000)","(743)","(202)","(371)","(63)","(450)","(460)","(750)","(272)","(166)","(187)","(300)","(287)","(460)","(320)","(590)","(372)","(204)","(350)"
"2025-07-21 00:00","ges",685,"ges",356,"ges","ges","ges",688,"ges",163,170,255,217,399,242,562,208,202,312
"2025-07-21 00:15","ges",685,"ges",357,"ges","ges","ges",688,"ges",163,170,255,218,399,242,563,208,204,312
"2025-07-21 00:30","ges",685,"ges",357,"ges","ges","ges",688,"ges",163,170,255,218,399,242,564,208,204,312
"2025-07-21 00:45","ges",685,"ges",357,"ges","ges","ges",688,"ges",163,170,255,218,399,242,564,208,204,312
"2025-07-21 01:00","ges",685,"ges",357,"ges","ges","ges",688,"ges",163,170,255,218,399,242,564,208,204,312
"2025-07-21 01:15","ges",685,"ges",357,"ges","ges","ges",688,"ges",163,170,255,218,399,242,564,208,204,312
"2025-07-21 01:30","ges",685,"ges",357,"ges","ges","ges",688,"ges",163,170,255,218,399,242,564,208,204,312
"2025-07-21 01:45","ges",685,"ges",357,"ges","ges","ges",688,"ges",163,170,255,218,399,242,564,208,204,312
"2025-07-21 02:00","ges",685,"ges",357,"ges","ges","ges",688,"ges",163,170,255,218,399,242,564,207,204,312
"2025-07-21 02:15","ges",685,"ges",357,"ges","ges","ges",688,"ges",163,170,255,218,399,242,564,207,204,312
"2025-07-21 02:30","ges",685,"ges",357,"ges","ges","ges",688,"ges",163,170,255,218,399,242,564,208,204,312
"2025-07-21 02:45","ges",685,"ges",357,"ges","ges","ges",688,"ges",163,170,255,218,399,242,564,207,204,312
"2025-07-21 03:00","ges",685,"ges",357,"ges","ges","ges",688,"ges",163,170,255,218,399,242,564,207,204,312
"2025-07-21 03:15","ges",685,"ges",357,"ges","ges","ges",688,"ges",163,170,255,218,399,242,564,208,204,312
"2025-07-21 03:30","ges",685,"ges",357,"ges","ges","ges",688,"ges",163,170,255,218,399,242,564,208,204,312
"2025-07-21 03:45","ges",685,"ges",357,"ges","ges","ges",688,"ges",163,170,255,218,399,242,564,208,204,312
"2025-07-21 04:00","ges",685,"ges",357,"ges","ges","ges",688,"ges",163,170,255,218,399,242,564,208,204,312
"2025-07-21 04:15","ges",685,"ges",357,"ges","ges","ges",688,"ges",163,170,255,218,399,242,564,208,204,312
"2025-07-21 04:30","ges",685,"ges",357,"ges","ges","ges",688,"ges",163,170,255,218,399,242,564,208,204,312
"2025-07-21 04:45","ges",685,"ges",357,"ges","ges","ges",688,"ges",163,170,255,218,399,242,564,208,204,312
"2025-07-21 05:00","ges",685,"ges",357,"ges","ges","ges",688,"ges",163,170,255,218,399,242,564,208,204,312
"2025-07-21 05:15","ges",685,"ges",357,"ges","ges","ges",688,"ges",163,170,255,218,399,242,564,208,204,312
"2025-07-21 05:30","ges",685,"ges",357,"ges","ges","ges",688,"ges",163,170,255,218,399,242,563,207,204,312
"2025-07-21 05:45","ges",685,"ges",357,"ges","ges","ges",688,"ges",163,170,255,218,399,242,562,203,204,312
"2025-07-21 06:00","ges",685,"ges",357,"ges","ges","ges",688,"ges",163,170,255,218,399,242,562,197,204,312
"2025-07-21 06:05","ges",685,"ges",357,"ges","ges","ges",688,"ges",163,170,255,218,399,242,562,198,204,312
"2025-07-21 06:10","ges",685,"ges",357,"ges","ges","ges",688,"ges",163,170,255,218,399,242,561,196,204,312
"2025-07-21 06:15","ges",685,"ges",357,"ges","ges","ges",688,"ges",163,170,255,218,399,242,561,194,204,312
"2025-07-21 06:20","ges",685,"ges",357,"ges","ges","ges",688,"ges",163,170,255,218,399,242,560,193,204,312
"2025-07-21 06:25","ges",685,"ges",357,"ges","ges","ges",688,"ges",163,170,255,218,399,242,558,187,204,312
"2025-07-21 06:30","ges",685,"ges",357,"ges","ges","ges",688,"ges",163,170,255,218,399,242,556,184,204,312
"2025-07-21 06:35","ges",685,"ges",357,"ges","ges","ges",688,"ges",163,170,255,218,399,242,554,178,204,312
"2025-07-21 06:40","ges",685,"ges",357,"ges","ges","ges",688,"ges",163,170,255,218,399,242,553,174,204,312
"2025-07-21 06:45","ges","kei","ges","bes","ges","ges","ges","kei","ges",163,170,254,"bes","bes","bes",551,168,"kei",312
"2025-07-21 06:50","ges",678,"ges",347,"ges","ges","ges",677,"ges",163,170,254,176,396,232,549,165,204,309
"2025-07-21 06:55","ges",675,198,346,"ges","ges","ges",674,"ges",163,170,253,176,395,235,549,163,204,307
"2025-07-21 07:00","ges",674,198,346,"ges","ges","ges",668,"ges",163,170,253,175,393,235,547,163,204,306
"2025-07-21 07:05","ges",673,160,346,"ges","ges","ges",666,"ges",163,170,252,174,393,235,545,159,204,306
"2025-07-21 07:10","ges",673,161,342,"ges","ges","ges",664,"ges",163,170,250,175,392,233,544,154,206,303
"2025-07-21 07:15","ges",671,160,340,"ges","ges","ges",661,"ges",163,170,251,174,388,231,541,152,204,303
"2025-07-21 07:20","ges",669,159,341,"ges","ges","ges",655,"ges",163,170,249,173,385,231,540,151,200,301
"2025-07-21 07:25","ges",668,159,339,"ges","ges","ges",654,"ges",163,170,249,173,385,230,540,149,206,299
"2025-07-21 07:30","ges",664,155,334,"ges","ges","ges",649,"ges",163,170,250,170,380,229,538,144,206,300
"2025-07-21 07:35","ges",661,155,332,"ges","ges","ges",646,"ges",163,170,248,169,377,227,535,144,204,299
"2025-07-21 07:40","ges",657,153,331,"ges","ges","ges",635,"ges",163,169,248,169,375,227,534,141,198,299
"2025-07-21 07:45","ges",654,150,329,"ges","ges","ges",631,"ges",163,168,246,169,372,226,532,143,198,299
"2025-07-21 07:50","ges",652,148,329,"ges","ges","ges",626,"ges",163,166,242,169,363,225,531,140,198,298
"2025-07-21 07:55","ges",651,141,324,"ges","ges","ges",625,"ges",160,162,239,167,360,225,526,140,194,296
"2025-07-21 08:00","ges",648,136,320,"ges","ges","ges",618,"ges",158,161,237,165,357,222,525,137,194,295
"2025-07-21 08:05","ges",646,135,315,"ges","ges","ges",617,"ges",154,158,234,165,354,220,523,135,188,295
"2025-07-21 08:10","ges",642,135,314,"ges","ges","ges",609,"ges",153,158,232,166,353,222,520,134,188,294
"2025-07-21 08:15","ges",639,135,311,"ges","ges","ges",607,"ges",150,158,225,165,349,218,521,135,190,291
"2025-07-21 08:20","ges",636,134,307,"ges","ges","ges",602,"ges",149,159,224,164,348,215,517,133,190,291
