Datum und Uhrzeit,Anzahl wartender Personen,durchschnittliche Wartezeit in Minuten,nächste Nummer,letzte Aktualisierung
2019-11-08 08:05,1,6,104,07:58
2019-11-08 08:10,0,5,,08:03
2019-11-08 08:15,0,5,,08:09
2019-11-08 08:20,0,5,,08:12
2019-11-08 08:25,0,4,,08:16
2019-11-08 08:30,0,4,,08:24
2019-11-08 08:35,0,4,,08:29
2019-11-08 08:40,0,4,,08:31
2019-11-08 08:45,2,4,137,08:39
2019-11-08 08:50,1,4,142,08:44
2019-11-08 08:55,0,4,,08:49
2019-11-08 09:00,0,4,,08:53
2019-11-08 09:05,0,4,,08:59
2019-11-08 09:10,0,4,,09:03
2019-11-08 09:15,0,3,,09:09
2019-11-08 09:20,4,3,164,09:14
2019-11-08 09:25,7,4,13,09:18
2019-11-08 09:30,7,4,62,09:24
2019-11-08 09:35,10,4,62,09:27
2019-11-08 09:40,5,5,171,09:34
2019-11-08 09:45,5,7,74,09:38
2019-11-08 09:50,6,9,176,09:44
2019-11-08 09:55,7,7,176,09:48
2019-11-08 10:00,7,6,181,09:54
2019-11-08 10:05,7,6,184,09:59
2019-11-08 10:10,6,6,186,10:03
2019-11-08 10:15,10,6,77,10:09
2019-11-08 10:20,10,6,77,10:09
2019-11-08 10:25,5,6,194,10:17
2019-11-08 10:30,7,5,195,10:24
2019-11-08 10:35,7,5,197,10:27
2019-11-08 10:40,8,7,199,10:34
2019-11-08 10:45,10,9,44,10:37
2019-11-08 10:50,13,8,201,10:44
2019-11-08 10:55,14,10,206,10:49
2019-11-08 11:00,13,10,207,10:52
2019-11-08 11:05,16,8,211,10:59
2019-11-08 11:10,15,8,213,11:04
2019-11-08 11:15,14,10,216,11:07
2019-11-08 11:20,9,14,221,11:13
2019-11-08 11:25,10,14,225,11:19
2019-11-08 11:30,9,12,230,11:24
2019-11-08 11:35,8,11,232,11:28
2019-11-08 11:40,9,9,235,11:34
2019-11-08 11:45,8,8,238,11:39
2019-11-08 11:50,4,7,244,11:44
2019-11-08 11:55,1,6,248,11:49
2019-11-08 12:00,0,4,,11:53
2019-11-08 12:05,0,4,,11:53
2019-11-08 12:10,0,4,,11:53
2019-11-08 12:15,0,4,,11:53
2019-11-08 12:20,0,4,,11:53
2019-11-08 12:25,0,4,,11:53
2019-11-08 12:30,0,4,,11:53
2019-11-08 12:35,0,4,,11:53
2019-11-08 12:40,0,4,,11:53
2019-11-08 12:45,0,4,,11:53
2019-11-08 12:50,0,4,,11:53
2019-11-08 12:55,0,4,,11:53
2019-11-08 13:00,0,4,,11:53
